,location,date,job,rating,review_title,review_content
1390," Vancouver, BC ", 3 September 2017,Customer Representative,4.0,Good job to learn the basics,"Good job experience to learn about finances, accounting, talking to customers, selling, as well has basic economic concepts applied to the real world."
1391," Scarborough, ON ", 30 August 2017,QA Test Lead,4.0,good learning,"great learning ,opportunities ,less pay and more secure .talented business analyst and managers. very good place to work. Highly impractical timelines."
1392," Toronto, ON ", 30 August 2017,Technical Consultant,5.0,Nice Company to work,"Work life balance.Support work from home.Average Package and remunerations , Perks.Soft Skill training are good.Project Management tools needs to be upgraded and Process guide lines should be more standardized."
1393," Toronto, ON ", 30 August 2017,"Senior Manager, IT&S Finance and HR Finance",3.0,summary,"Good long term strategy to move into the digital age and attract younger customersGood  support for community events both in Canada and internationally"
1394," Gander, NL ", 30 August 2017,Financial Advisor,3.0,stressful workplace with its benefits,"set daily schedule that involved:-prep time for client meeting throughout the day, branch meeting to discuss success stories and obstacles within your work whether it be administrative or the client themselves. Throughout day I met with clients dealing multiple issues and needs. (I was qualified to set up mtgs, credit cards, line of credits, loans and even sold investments).Once meeting was over, I completed the final paper work, created notes for next contact, etcI learned how to become organised, how to multitask, create conversation, listen and understand peoples needs, etcHardest part of my job was not being able to help all clients whether it was due to their financial situation or due to policy of the bankMy most enjoyable part was meeting the clients and having them smile when I was able to create a connection and satisfy their needs"
1395," Toronto, ON ", 29 August 2017,"Real Estate Senior Manager Mexico, Chile & Peru",5.0,Exiting place to work,"Always something new to challenge and learn. Working in global Bank, provides me an intercultural and diverse negotiations skills.It is a very flexible company to work."
1396," Pickering, ON ", 29 August 2017,Customer Service Representative,4.0,Great training program,"I worked as a bank teller with Scotia Bank for two years. Finance and/or banking is not a career path that I am interested in pursuing, however working as a bank teller was a fantastic way to gain customer service experience quickly. Because banking is not my field, I was incredibly nervous when I was hired on as a teller. I was pleasantly surprised by the training methods of the other tellers. I learned very quickly thanks to the training process. I would recommend this job to anyone looking to start their career in the banking industry."
1397," Toronto, ON ", 28 August 2017,Business Analyst,4.0,Good & Bad,"The good things Some management is outstanding, it is a diverse company. The working hours are not too bad (much better than Investment Banking)  The challenges Technology is a challenge with large firms."
1398," Toronto, ON ", 28 August 2017,Performance and Capacity Analyst,4.0,Work Life Balance Enviornment,"- Check the scheduled job result and analyze the result. - work on the project (both design and automation) - analyzed the daily and monthly reports and send to relevant development groups and senior management"
1399, Intermediate (Former Employee) ," Scarborough, ON ",Quality Assurance Analyst - Intermediate,2.0,This employer like to outsource,"Spent almost two decades, was a bitter sweet journey for me then I  just received an email to meet the SVP and was subsequently told that I am no longer working with the oompany."
1400," Toronto, ON ", 26 August 2017,Lending Services Officer,4.0,Nice place to work,"Overall a nice place to work at. Employees are respectful to each other and help each other out. The job primarily focuses on collateral documentation preparation and registration, plus other administrative tasks."
1401," Toronto, ON ", 24 August 2017,Junior QA Analyst,4.0,First Junior level job as QA.,Learned a lot about office culture and QA. People around me was always nice and supportive. My TL taught me a lot about different strategies and how to approach them.
1402," Hamilton, ON ", 23 August 2017,Customer Service Representative,5.0,Branch Staff and Management Team,One of the major banks was a great place to work! My leaders and co-workers were great people to work with. They assisted when needed and provided guidance and resources to be successful.
1403," Toronto, ON ", 22 August 2017,Financial Advisor,3.0,"Depending on management, this can be a good place to work","Depending on management, this can be a good place to work. Work experience is only relevant to your supervisor. I have had an amazing branch manager and a terrible manager with a micro management attitude. Long work hours were appreciated and awarded by one branch manager, while the other did not."
1404,op (Former Employee) ," Toronto, ON ",Accounting Analyst Co-op,4.0,Nice company culture and relax working environment,The team I worked in has really nice co workers and the environment is really relaxing. The policy for taking vacation is flexible and the benefit is pretty good.
1405," Brampton, ON ", 21 August 2017,Lending and Investment Officer,4.0,Learned many skills at Scotiabank.   Felt proud working there.,"Many phone call, large and crazy workload.   Drop in customers who you had to serve, including schduled customers.   Need to work under pressure.   Always a deadline to for example, submit a loan application or RSP deadlines.  Mortgage loan deadlines so they could be processed ontime for closing day.    Not to mention, internal mandated deadlines.  Once a week staff meetings.    Dress up everyday nicely in a suit.   Unfortunately, a sales target culture has taken it's roots there subverting service levels.  Staff that have the best sales are rewarded and nothing recognized for those with good service."
1406," Winnipeg, MB ", 20 August 2017,Customer Service Representative,2.0,Horrible training,"The team was not helpful, I have worked in a small branch, the workplace culture is very bad, there is no proper training, also the managers don't care if you do your job well."
1407," Toronto, ON ", 2 November 2020,Financial Advisor,4.0,A Great Place to Start Your Career in Financial Services,"If you are just out of school or finishing a degree, Scotiabank is a great place to learn the fundamentals of customer service and financial products."
1408," Red Deer, AB ", 18 August 2017,Teller,5.0,large company to work for,loved working for the bank.  i got to learn different postitions in my time there.  the part time hours were not enough for me. i did work in a few of the banks in sylvan lake and red deer to keep part time position. hours were cut and i had to find a more permanent job
1409," Maple, ON ", 18 August 2017,Manager Customer Service,3.0,Good salary and benefits in a clean and professional environment.,The only thing constant at Scotiabank is change.  Manager Customer Service level is typically stressful due to the constant down sizing and redistribution of workloads. In our age of technology most customers come to the branch because they have a problem so you must be adept at changing a negative situation into a positive opportunity to sell.
1410," Mississauga, ON ", 18 August 2017,Customer Service Representative / Supervisor,5.0,Great Culture & Plently of Room for Advancement,"Working in a International company like Scotiabank, comes with great pleasure. Recognizing that the bank does more for society and charity makes you feel great about working for this company"
1411," Toronto, ON ", 18 August 2017,Customer Relations Representative,3.0,Great starting job,"Bank is ok as starter, there is room for growth at the branch level. Management culture varies among districts. Good starting position for kids coming out of university."
1412," Mississauga, ON ", 17 August 2017,Senior Accountant,3.0,Lack of respect,"Managers need to respect their staff, better communication with theirstaff.  Pay is low if your not full time.favourtism with managment.  No equal opportunity,Just no respect for their employees."
1413," Toronto, ON ", 15 August 2017,Personal Banking Officer,3.0,Sales oriented place,"I have worked in the call center so my experience is not based on the branch. So stressful, someone is always listening to your calls and finding something to criticize. They always expect you to find a way to sell anything to the customer whether it is suitable or not."
1414," Toronto, ON ", 14 August 2017,Technical Analyst,1.0,Horrible place to work,"I worked for the IT Servicedesk under a manager who had very little technical knowledge and was very proud to boast about it, Extremely stressful work environment and low pay"
1415," Kelowna, BC ", 14 August 2017,Financial Advisor,1.0,Very stressful company,"Hard working environment. Since there were not walking in traffic, management put a lot of pressure on workers to perform. Co workers were very stressed because of management."
1416, Quality Assurance (Current Employee) ," Toronto, ON ",Project Lead - Quality Assurance,5.0,excellent workplace,"good work environment.excellent work life balancelot of scope for self learningnew projects gives an exposure to the advanced applications and technology."
1417," Toronto, ON ", 12 August 2017,Director,1.0,Things have changed,"... and not for the better.With all the layoffs, staff morale is very low. People are afraid to seek career advancement or ask for a raise unless they want to be packaged."
1418," Toronto, ON ", 11 August 2017,Digital Analytics Manager @ Digital factory,4.0,Great !!,Breaking ground in the space of digital and product management. Building an agile and more seamless world of technology with a customer centric focus.
1419,iTrade (Current Employee) ," Toronto, ON ",Agile QA (Mobile) tester at Scotia-iTrade,5.0,Good team,"Nice to work with he team. It is a multicultural environment. People are very friendly. Lot of learning oppotunities. Good career growth. Team outings, volunteering work."
1420," Hudson Bay, SK ", 9 August 2017,Customer Service Rep,2.0,Nice people,Staff in most branches are pleasant but there isn't much room for advancement. They don't have full time unless your in Management. Benefits are excellent.
1421, Manitoba , 8 August 2017,Financial Advisor,1.0,Terrible company to work for/stressful,"Company highly focused on sales and pushing numbers. Hard to find quality clients at some rural locations,but sales targets are still there making you feel stressed day in day out!!! Not worth putting your self and your family through this day in day out maybe if this role was 80k plus... there are so many other jobs out there where you can make the same wage doing half the work/half the stress or any..."
1422," Calgary, AB ", 8 August 2017,Customer Representative,3.0,poor management,"poor mannagement with no respect. Mirco management, no funs. sales target always push employees to work extrat and overtime. No support for your career development. But co-workers were nice since everyone is on the same boat."
1423," Toronto, ON ", 8 August 2017,"Manager, Customer Insights & Analytics",5.0,Excellent Workplace with a plenty of learning opportunities,The management team is very encouraging and supportive. Everyday is different and challenging letting the individual train himself on the job. Exposure and frequent interaction with the senior management.
1424," Toronto, ON ", 3 August 2017,Small Business Analyst (Contract),3.0,Decent role to get experience in the Small Business area,Repetitive reviews of documentation but management allows you to get creative with KYC trends analysis and reporting. The most enjoyable part of the job is voicing your opinion to important people and being heard.
1425," Toronto, ON ", 2 August 2017,Manager Customer Service,5.0,Excellent Work Place,"I worked for Scotiabank for 42 years, in several different departments. I would highly recommend Scotiabank as a great place to work. Excellent benefits."
1426," Halifax, NS ", 31 July 2017,ACCOUNTING OFFICER,3.0,Great team to work for,It is a great place to work. It is a very team based environment. I love working with the people I work with. Working for Scotiabank has given me the experience I need for a fast paced office environment.
1427," Barrie, ON ", 31 July 2017,Personal Banking Officer,4.0,lots of opportunities,"great people, great management, lots of opportunity , make it fun atmosphere.  Really enjoyed being part of the scotiabank team.  Most enjoyablepart of the job were the people"
1428," Toronto, ON ", 2 November 2020,Financial Advisor,4.0,A Great Place to Start Your Career in Financial Services,"If you are just out of school or finishing a degree, Scotiabank is a great place to learn the fundamentals of customer service and financial products."
1429," Toronto, ON ", 31 July 2017,Sr. Manager Credit Risk Administration,4.0,crReview,Good company to work for. Great location. Organization is taking a more technological approach to banking and looking after its customers. There are many staff members that have made a life long career there.
1430," Toronto, ON ", 28 July 2017,Summer Associate & Business Analysis Specialist,1.0,good,This position is responsible for supporting the Enterprise Risk Management (ERM) function by analyzing risks and maintaining related financial models to.
1431," Toronto, ON ", 26 July 2017,CARDS OFFICER,4.0,Work with 10-15 Members in the Downtown Office,"Regular workday, Good team environment,Enter, review & approve loans for credit managers,Telephone & email communication No advancement opportunities within the department"
1432," Mississauga, ON ", 26 July 2017,Administrator,2.0,not a fun place to work as its all about cost savings and job cuts,"Everyone has a certain target or number to hit within your day's work, most people the full timers work thru lunch just to keep up, a lot of pressure as the management don't take in the time factor to fix and correct errors which slows you down."
1433," Toronto, ON ", 26 July 2017,"HR Global Consultant, HR Transformation",3.0,Global experience,Its a great place to gain global experience. Flexible place to work at with great people. Still the culture is very traditional where diversity and inclusion as well as engagement management is still not part of everyday practice.
1434," Toronto, ON ", 25 July 2017,QA Analyst/ Acting Team Lead,5.0,It fun working at Scotiabank,"Personally, I really enjoyed working at Scotiabank as a contractor.  I had a great supervisor who was extremely helpful.I enjoy all of my job responsibilities and respect my piers and the management that runs the company. My main reasons for wanting another position is the job is less challenging than it used to be and also I am moving to Kitchener, commute to Scarborough is kind of challenging."
1435," Halifax, NS ", 25 July 2017,Client Service Representative,1.0,Bully Work Environment,"They claim to care mostly about customer service, but sales are the real target. They don't really care about the person, just that the metrics. I would not recommend this company."
1436," Calgary, AB ", 24 July 2017,Client Service Representative,4.0,Customer Service Representative,"Depending on which branch you work at, you might have a great time in a great team, or the opposite. Daily changes in procedure and processes. Despite an update in teller systems, they still go down a lot. Hardest part of the job is whether you get along with your client base. Advancement opportunities exist but more than likely must relocate."
1437," Toronto, ON ", 23 July 2017,Manager Business Analysis,3.0,Good Experience,The company provided a challenging experience. It gives you a balance between finance and technology.  It provided an overall understanding of the finance sector. It is a good place to start when you are fresh out of school.
1438," Saint John, NB ", 23 July 2017,Bank Teller,5.0,Great place to work,Its been awhile since I worked at the Bank of Nova Scotia but it was the most rewarding job I ever had. Wouldn't mind going back. I gained a lot of experience there coming right out of high school. The company was very willing to help you in various ways to better yourself . They offered me a lot of opportunity for advancement.
1439, Scotiabank Caribbean , 23 July 2017,Service Representative,3.0,Branches outside of Canada Poorly managed,"Worked as a part time employees, branch had veryour little support for staff. Management just kept speaking of policies but staff never got to see or review any of the policies. It's like working in a dark hole."
1440," Toronto, ON ", 21 July 2017,MANAGER CUSTOMER SERVICE,4.0,good culture with work life balance,"Great place to work for work/life balance, great people and management. Coaching and development is ongoing daily/weekly to assist with success and personal growth."
1441," Mississauga, ON ", 21 July 2017,Customer Service Consultant,4.0,Customer service consultant,Scotiabank on a while is a great company to work for. They are fair and consistent. Qualifying for advancement can be slightly tricky. The trend right now is hiring external management which to some would be considered an advantage.
1442," Ottawa, ON ", 20 July 2017,Customer Service Representative,3.0,my overall experience with Scotiabank,"The pay was good but it could have been higher. I was customer service officer full time. They had great teams and excellent managers of each teams. Good environment to work at but however; my last pay witch was before I left the company due to an emergency with my family, my last pay was horrible even throughout I worked 37.5 hours the previous week. Their explanation didn't make any sense. I spoke with payroll about this, and their explanation was even worse. Since I resigned from Scotiabank, I didn't even care about my last pay because I'll be moving into some better things in life. I'm still grateful to have worked at Scotiabank and I wish nothing but success to anyone willing to work there. But also, be cautions about the pay."
1443," Toronto, ON ", 19 July 2017,Retail Banking Officer,5.0,Excellent Organization to Work For,"Great organizational culture. Great training program. Wonderful co-workers. Easy commute. Friendly environment. It was a pleasant experience to be employed here."
1444," Edmonton, AB ", 19 July 2017,Financial Advisor,3.0,good management,"Less salary according to the work you do. Good managers, very supportive district Vice Presidents and training. sales pressure can increase at times. Too many changes going on since the new CEO took over. some good. some bad. overall a good company to work for experience."
1445," Scarborough, ON ", 19 July 2017,Senior Quality Assurance Analyst,4.0,Good place,"We are very happy with Scotiabank’s project management and implementation process and with theUniversa™ banking platform; it will allow us to enhance our partnership with our Korean members in many ways andto successfully meet their growing financial needs on an ongoing basis.”"
1446," Renfrew, ON ", 19 July 2017,Customer Representative,4.0,Embracing change,"With the shift to self-service banking, changes are happening in Scotiabank. They aim to accommodate current employees in their positions while opening new ones aimed at embracing new technology."
1447, Technology Application Group (Current Employee) , Toronto ,Business analyst - Technology Application Group,5.0,Contractor Vision,"Conditions for contractors are a little bit different than for full-time employees, so - for example - I cannot estimate benefits/salary... I was lucky to work with good people, true professionals and that made my work days exciting."
1448," Toronto, ON ", 19 July 2017,Cloud engineer and Puppet master,4.0,Good company,"BNS will eventually lead the banking technology in Canada with its PCF and Cloud programs.  With the establishment of opinionated platforms via PCF and Puppet, the company has given itself the necessary technology to develop applications faster with consistency.  Of course, the rest of the bank needs to get on board with the whole agile development and opinionated platforms but given the fact that all the new hires understand and embrace agile methodology and culture, the future looks bright."
1449," Toronto, ON ", 2 November 2020,Financial Advisor,4.0,A Great Place to Start Your Career in Financial Services,"If you are just out of school or finishing a degree, Scotiabank is a great place to learn the fundamentals of customer service and financial products."
1450," Halifax, NS ", 18 July 2017,Customer Service Representative,5.0,Great place to work,Very positive environment. Everyone is so helpful and knowledgeable. You learn new things everyday. The branch I work in possibly has the friendliest staff. Overall amazing.
1451," Mississauga, ON ", 18 July 2017,Customer Support Representative,4.0,good place to work,"good place to work, with an opportunity to network and meet new people. job teaches you a lot about customer service. great way to start of banking ca"
1452," Calgary, AB ", 17 July 2017,Customer Service Representative,4.0,A great place to work with a very friendly staff,A typical day can vary depending on how busy the branch is. But everyone is always helpful to the best of their abilities which makes it a great place to work. The most enjoyable and the hardest part are both the customers. They can make your day or ruin it.
1453," Toronto, ON ", 17 July 2017,Business Analyst / Project Manager,4.0,Steady stream of Projects,"An enjoyable workplace environment. Worked with business staff to deliver projects large and small. Flat management structure; management was always accessible and listened to feedback, seemed always concerned with cost/benefit options. Full time staff has minimal scope and not skilled or risk taking compared with their industry counterparts. All levels of the project teams were great to work with."
1454," Toronto, ON ", 16 July 2017,Financial Advisor,5.0,Stressful days at work,"Highly target oriented, management isn't very helpful, however the position helps you improve communication skills.  Enjoyable part of the job is you help people achieve their financial goals, hardest part is the stress associated with financial goals."
1455," Burlington, ON ", 12 July 2017,Bank Teller (Contract Position),2.0,Contract work,"It was not easy to work as a teller in this bank, because of the constant pressure to sell their products. There was a certain quota which had to be met, and the position was only on contract."
1456," Toronto, ON ", 12 July 2017,Director Business Applications & Development,3.0,Good challenges,"The major program I was brought into rescue was successfully completed. In the final stages there were others who tried claiming the victory as theirs. Even though I was able to finish a program that four other full-time employees failed at, I was not offered a full-time position and those who tried to stake claim t the success also went out of their way to try and discredit me."
1457," Toronto, ON ", 11 July 2017,Programmer Analyst Advisory,5.0,Productive and fun work place,"friendly working environment.nice colleagues.opportunity to learn new technologies.not enough time to learn new things for a tight schedule.it is challenging."
1458," Toronto, ON ", 10 July 2017,Quality Assurance Analyst,5.0,Work Environment,working with fast paced team in a very much balanced environment. The ideas and the recommendations are well documented and honored. Really love to work in a team like this.
1459," Toronto, ON ", 10 July 2017,Senior Functional Consultant,4.0,"Good Opportunity, encouragement","Not much pressure, good work opportunity, balanced work culture. Not organized, no requirements sessions and requirements are not finalized and no next steps decided or even if decided not followed up."
1460," Calgary, AB ", 10 July 2017,Customer Service Representative,4.0,Loved,I loved working with everyone from scotiabank.. if I could go back I would..just not enough hours for me.. had great hours.. great employees..amazing experience!!
1461," Calgary, AB ", 9 July 2017,Financial Advisor,3.0,"Overlook employees, poor management","Unrealistic sales target, does not care employee feelings, do not expect much internal support. Many managers do not know much about their jobs, except push you for numbers."
1462," Toronto, ON ", 9 July 2017,QA Lead/Manager,4.0,Gained nice experience at work place,Gained nice experience at work place  and employee friendly more. As an employee we can have free hand to innovate technologies and bring up to management systems
1463," Oromocto, NB ", 8 July 2017,Customer service representative,4.0,Great place to work but it takes along time to get a permanent position,"The pay was a competitive rate which was fare, it could be higher. You have to work casual starting out for a lot of the tellers and when a full time position opens up it's still only 28 hours a week. they had a great team of managers and staff I felt very appreciated and the managers are so kind. definetly one of my favorite places I have worked however; I could not afford to stay as I was casual for 9 months with no opportunity to move up until someone retired or left."
1464," Calgary, AB ", 7 July 2017,Business Customer Service Relations,4.0,Times are good when they are good,"The workplace culture at Scotiabank was great. Once you put yourself into the environment and participated in all the events, the work and fun balanced out. The people are generous, kind and friendly. The work was sometimes difficult and the customers were everything from friendly to rude. Learning to deal with all those different personality types was helpful in growing my skills when dealing with people.Scotiabank loves to educate and keep their employees up to date. They like self growth and promote it every chance they get. The amount of material at my disposal was great! Taking advantage of those items really helped me step up my game and learning."
1465," Toronto, ON ", 6 July 2017,Application System Support Analyst,4.0,Friendly and productive work place,"Friendly and productive work place and provides opportunity to meet new people. A typical day starts with getting the updates from co-workers and bulletin board, by reading the recent  emails, communicate any ongoing issues."
1466," Calgary, AB ", 5 July 2017,Usher,5.0,Working at Scotiabank Saddledome,I enjoy working there because I like working with people while scanning their ticket to come see an event and being in a section where the participants goes to their seats Workplace culture has many different kinds of people that they came from their country. Management is really organized and helpful and they give us some training how to do certain tasks and we get some benefits like Healthcare and Dental care.
1467," London, ON ", 5 July 2017,Financial Advisor,3.0,No work life balance,Sales sales sales! Nothing else matters. Crazy high sales goals......managers do not care about work life balance or anything outside of bottom line numbers.
1468," Brampton, ON ", 5 July 2017,Customer Service Representative,4.0,"Productive, professional and fun work environment.","Personally, I like working for Scotiabank. It's helped me grow and mature in both my personal and professional life in ways that I could not ever fully explain. I've learned so many new things that I didn't know before. Scotiabank has also given me a chance to meet some amazing people (both customers and employees) and make new friendships and bonds with them."
1469," Toronto, ON ", 5 July 2017,Technical Business Analyst Senior,4.0,"Great place to work, allows growth","Scotiabank allows room to grow and achieve career goals.My management has always been supportive. Culture is very relaxed and yet determined to work hard and achieve our team goals."
1470," Toronto, ON ", 2 November 2020,Financial Advisor,4.0,A Great Place to Start Your Career in Financial Services,"If you are just out of school or finishing a degree, Scotiabank is a great place to learn the fundamentals of customer service and financial products."
1471," Toronto, ON\ ", 4 July 2017,Summer Student,5.0,Great Learning Experience,Scotiabank accepted me as an intern and provided me with extensive business training. It was a great place to work with very friendly staff. Great foot in the door.
1472, Consultant (Former Employee) ," Toronto, ON ",Senior QA Lead - Consultant,5.0,Great Managerial Team,"Excellent leadership, Project discussions, meetings, positive approach to meet the goals/ requirements set by clients.Skilled team members. Excellent Agile practice of the on-going status and the release dates displayed in bulletin for the entire project team - Transparency to the project stakeholders about the focus, courage, openness, commitment and respect of all the team BI- reports handled by each team, their work past, current, on-coming displayed for a clear understanding of all the team.  Thanks&Regards,Padmini"
1473," Toronto, ON ", 29 June 2017,Applications Senior IT Delivery,1.0,Program Delivery,"Not a good place to work, collaborate and to make things happen for our clients. Team members are not true SME's in our North American Digital and Innovation market"
1474," Dartmouth, NS ", 28 June 2017,Customer Representative,5.0,Good team workplace.,Scotiabank is good. Has a great team environment and good training. The hours of operation provide a good balance between work and life events. Everyone is friendly.
1475," Montréal, QC ", 27 June 2017,Agente de soutien opérationnel,3.0,OK place to work but sadly they are closing a lot of jobs.,I've enjoyed working at Scotiabank for many years. They have good benefits and you have the possibility to move up in the company but sadly they are cutting a lot of jobs.
1476," Edmonton, AB ", 27 June 2017,Customer Service Representative,4.0,"Loved working here, Friendly outgoing bunch","Everyone here was very supportive and understanding.No racial discrimination, very diverse pool of employees.Great customer experiences. The hardest part about the job was having to recount the days incoming balances and working late. Not getting paid overtime."
1477," Red Deer, AB ", 26 June 2017,Senior Financial Advisor,3.0,Forward thinking,Multi task environment with challenging day to day work.  Never a dull moment.  Most enjoyable part is helping people become financially better off by creating detailed financial plans.  Most difficult is adapting to multi level changes and compliance requirements.
1478," Toronto, ON ", 26 June 2017,Information Security Analyst,4.0,Good place to start out,Great team and good learning experience with plenty of opportunities around. People are friendly and are very helpful in answering questions to assist you in pursuing your career.
1479, Canada , 26 June 2017,FA6,3.0,A lot of good and bad,"People and employes are great. Many advantages come with the position as well as a good salary. However, the training is the worst part you could live through."
1480," Toronto, ON ", 25 June 2017,Customer Service Representative,2.0,Not too many oppurtunities,Not too many opportunities. The management is not employee focused.  Recruitment is done by a 3rd person who is not even aware of the role and the department requirements.
1481,call) (Former Employee) ," Thorhild, AB ",Customer Service Representative (Casual on-call),5.0,Great and wonderful company,I have enjoyed working with Scotia Bank.  I have had a very positive experience and my coworkers have displayed a very good team work.  The training I have received has above any of my expectations.
1482," Toronto, ON ", 22 June 2017,"Manager, Customer Service",1.0,Do not work here,"The salary is laughable, compared to other markets (managing Service personnel) banks pay very little.  And after working for them for over 15 years - there is no loyalty of the side of the bank - you will be tossed out on your wazoo. The hours were very long, expectations extremely high, and depending on who the branch manager was - mainly you were expected to be at work from 8:00 - 19:00 but get paid only for 7.5 hours.  Expectations and amount of work for 1 individual were staggering.  If all other businesses burn to the ground and only banks remain on this planet - only then will I consider working for one.  Overall - Pay = terrible, expectations and workload = extremely high, recognition for work well done etc = non-existent."
1483," Pembroke, ON ", 22 June 2017,Executive Assistant and Mortgage Officer,4.0,Fun place to work .... friendly people,"very interesting work ... meeting new people each day .... I worked in Commercial Credit, Administration, Mortages and Executive Asst to Managers.  A daily challenge which was always something to look forward too ...."
1484," St. John's, NL ", 21 June 2017,Financial Advisor,3.0,Productive and Ever Changing Work Environment,"A typical day as a Financial Advisor includes meeting with clients face to face and provide them with financial advise based on their daily banking, borrowing, investment and estate needs. I have had the pleasure of learning an abundance of useful financial planning information that I will be able to take forward in my personal and professional journey. I particularly enjoy being able to work together with clients to better their current financial situation while being able to invest in my own education that provides me with the knowledge to help others now and in the future."
1485," Port Elgin, ON ", 20 June 2017,Customer Service Representative,5.0,Great Coaching,"My managers have always been great- coaching me instead of telling me what to do.  Their flexible around life, and always there to help while without the burden of micromanaging/"
1486," Toronto, ON ", 20 June 2017,Accounting Officer,3.0,Good Stepping Stone for career,Good stepping stone for career in finance.  Allow lots of opportunity to learn with funding to support continued education.  Good to start and then leave for a better position.
1487, Dynamic Funds (Former Employee) , Toronto ,Investment Risk Analyst - Dynamic Funds,4.0,Interesting!,Gained an in depth understanding of Risk analysis associated with portfolios and asset management to assist decision making in terms of what securities to keep
1488," Toronto, ON ", 19 June 2017,Manager of Tax Support,3.0,Old school,"one of the very last big banks to start restructure. Old school, needs many changes.I would only recommend it to my friends, when the high school culture is changed"
1489," Stratford, ON ", 19 June 2017,Senior Accountant,4.0,Great place to Work,I really enjoy working at Scotia Bank. I started when I was a student and came back after school. I prepared Mortgage documents and would send them to Law Offices across Canada.
1490," Toronto, ON ", 19 June 2017,Project Coordinator,5.0,"Productive, fun place to work. Great people looking to change the industry with innovative ideas.",High performing individuals looking to push the culture of banking forward into the new age. Constantly striving to improve quality and operations while breaking new grounds in the advancements of technology.
1491," Toronto, ON ", 2 November 2020,Financial Advisor,4.0,A Great Place to Start Your Career in Financial Services,"If you are just out of school or finishing a degree, Scotiabank is a great place to learn the fundamentals of customer service and financial products."
1492," Toronto, ON ", 18 June 2017,Customer Relation Officer in collections,4.0,very peaceful and productive work enveronment,"very interesting and productive environment, every body was help full, Strong team work, gender equity and equality.supervisor and management team is very helpful and cooperative.I learned  about  Scotia bank business, code of conduct, professional customer service, collection methods and regulations, dealing with customers .The most enjoyable part is every body is cooperative and as well as bank provided entertainment faculties for employees."
1493," Stratford, ON ", 17 June 2017,Senior Accounting Clerk,4.0,Productive,"I learned alot.Its a great place to work, however going through a 'restructure' and 'automation' is never fun. Looking to move on to a place that has a family first attitude."
1494, Customer Service Supervisor (Current Employee) , 13219 Royal oak ,Scotia bank - Customer Service Supervisor,5.0,"I am very pepole persone, enjoy with team work","I love working with Scotia back I really enjoy my Customer Manager role, our job is going to restructure so looking for new challenge. Scotia bank is multicultural bank ."
1495,operative Student (Former Employee) ," Brampton, ON ",Co-operative Student,5.0,Co-op,"Typical day consisted of:Refilling the printersGreeting customers Shadowing tellersFiling and organizing client documents Scheduling appointments for financial advisors"
1496," Calgary, AB ", 15 June 2017,Floor Staff,5.0,best job I have ever had,"this is an excellent company to work for, with great employee benefits, staff functions , friendly co-workers, and overall employers to work for . I would definitely recommend this company to others."
1497," Toronto, ON ", 15 June 2017,Digital and Direct Marketing Manager,5.0,Great place to work,"Good peopleChallengingGood networkingGood projectsMedium salaryA lot of egosA lot of protocolGood teamsMedium payGood work balanceIn general everything is good"
1498," Toronto, ON ", 14 June 2017,Business Analyst Intermediate,3.0,Productive Work Place,"Work environment is good.  Working on the LAM Recon - Logical Access Management Process. Also working on the Incident Management Report. For the weekly VP Meetings."
1499," Barrhead, AB ", 13 June 2017,Head Teller,5.0,Great place to work at.,"Great team experiences, and morning Huddleston.  And weekly breakfast all together was always so fun.  I really enjoyed the mini competitions all togther and team orientated goals."
1500," Toronto, ON ", 12 June 2017,"Senior Programmer Analyst, Level",5.0,Amazing place to work,Worked as Report developer and had a lot of influence on how solutions could be done. Amazing place to uncover your talents.Great environment and very easy to commute to.
1501," Toronto, ON ", 12 June 2017,Accounting Clerk,5.0,knowledgeable,"everyday in the morning meeting which is motivational.some fun activity for employees so they don't feel stress  from work.co operative staff.nice and healthy working environment ."
1502," Waterloo, ON ", 12 June 2017,Customer Service Representative,5.0,ScotiaBank,"Processing transactions, working closely with customers, providing effective and efficient customer service, and additionally reviewing regulations and policies to keep up to date."
1503," Ottawa, ON ", 11 June 2017,Call Centre Representative,2.0,not a equal opportunity employer for people who have epilepsy,my manager would not allow me to discuss how to safely deal with my epilepsy because she said it made people scared. I just wanted to make sure no one would injure themselves me or trying to help me. Unsafe environment that put my life in danger.
1504," Toronto, ON ", 10 June 2017,Assistant Manager,4.0,"Productive, culturally diverse and friendly environment","My environment was bright and spacious, with access to kitchenettes and common areas.  Management was helpful, friendly and supportive.Co-workers were sociable and helpful.Work environment was steady and busier at peak times.Deadlines were the hardest part (usually encountered overtime monthly, quarterly and yearly)There were perks of banking with Scotiabank, Staff social events, performance bonuses, and a shuttle service to and from Union Station."
1505," Vancouver, BC ", 10 June 2017,Financial Advisor trainee,3.0,all about sales,"if you are successful sales goals achiever, than this role is for you.salary is low, stress level is high, managers are different from branch to branch."
1506," Toronto, ON ", 9 June 2017,Senior Manager,3.0,Great people to work with!,"The people make the organization!  Scotiabank has amazing people under its roof.  From Front-line, retail to back end IT, the employees are warm and come with so many insights and talents..working cross-functionally with many people in the organization has been a great experience.   SB's generally provides a good salary base and benefits.  Moving more towards project-based work and agile methodology, but with some old-school mentality.The downfall for SB is its aging infrastructure and slow move to digital working practices.  The other major aspect is all the recent ""transformation: and downsizing of staff has left many feeling unstable and unsure of their future."
